id	title	provider	score	rating	level	duration	language	skills	enroll
294	                      機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations	                      National Taiwan University	                      4.9	                      690	                      Beginner Level	                      Approx. 17 hours to complete	                      Chinese (Traditional)	                      Vc Dimension,Machine Learning,Perceptron,Decision Stump	                      26,819	
297	                      Math behind Moneyball	                      University of Houston System	                      4.5	                      50	                      Beginner Level	                      Approx. 17 hours to complete	                      English	                      Microsoft Excel,Probability,Statistics,Analytics	                      7,149	
298	                      Understanding Your Data: Analytical Tools	                      University of Virginia	                      4.4	                      56	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      Data Moderation,Multilevel Model,Data Analysis,Data Model,Data Mediation	                      6,663	
300	                      Bayesian Statistics	                      Duke University	                      3.9	                      603	                      Intermediate Level	                      Approx. 30 hours to complete	                      English	                      Bayesian Statistics,R Programming,Bayesian Inference,Bayesian Linear Regression	                      51,312	
302	                      Principles of fMRI 1	                      Johns Hopkins University,University of Colorado Boulder	                      4.6	                      474	                      Mixed	                      Approx. 13 hours to complete	                      English	                      Statistical Analysis,Statistical Model,Statistics,Preprocessor	                      22,677	
303	                      Introduction to Computer Vision with Watson and OpenCV	                      IBM	                      4.5	                      155	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      Opencv,watson,Artificial Intelligence (AI),Computer Vision	                      3,179	
304	                      Practical Machine Learning	                      Johns Hopkins University	                      4.5	                      2,685	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Machine Learning,Random Forest,R Programming,Machine Learning (ML) Algorithms	                      101,193	
305	                      Text Retrieval and Search Engines	                      University of Illinois at Urbana-Champaign	                      4.4	                      554	                      Mixed	                      Approx. 18 hours to complete	                      English	                      Machine Learning,Recommender Systems,Information Retrieval (IR),Document Retrieval	                      30,984	
306	                      Regression Models	                      Johns Hopkins University	                      4.4	                      2,777	                      Mixed	                      Approx. 17 hours to complete	                      English	                      Model Selection,Generalized Linear Model,Linear Regression,Regression Analysis	                      85,757	
307	                      Causal Inference	                      Columbia University	                      3.6	                      17	                      Advanced Level	                      Approx. 16 hours to complete	                      English	                      	                      4,125	
309	                      Research Data Management and Sharing	                      The University of North Carolina at Chapel Hill,The University of Edinburgh	                      4.6	                      254	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Metadata,Data Management,Research Data Archiving,Data Management Plan	                      13,209	
310	                      Introduction to Recommender Systems: Non-Personalized and Content-Based	                      University of Minnesota	                      4.5	                      455	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      Microsoft Excel,Recommender Systems,Summary Statistics,Term Frequency Inverse Document Frequency (TF-IDF)	                      19,968	
312	                      Big Data: el impacto de los datos masivos en la sociedad actual	                      Universitat Autònoma de Barcelona	                      4.6	                      285	                      Beginner Level	                      Approx. 9 hours to complete	                      Spanish	                      	                      3,543	
313	                      Estadística aplicada a los negocios	                      Universidad Austral	                      4.6	                      326	                      Beginner Level	                      Approx. 26 hours to complete	                      Spanish	                      Statistics,Data Analysis,Data Science	                      23,136	
314	                      Introdução ao Big Data	                      Fundação Instituto de Administração	                      4.6	                      205	                      Beginner Level	                      Approx. 9 hours to complete	                      Portuguese (Brazilian)	                      	                      8,814	
315	                      Machine Learning: Clustering & Retrieval	                      University of Washington	                      4.6	                      1,788	                      Mixed	                      Approx. 47 hours to complete	                      English	                      Machine Learning,K-Means Clustering,Data Clustering Algorithms,K-D Tree	                      56,547	
316	                      Practical Reinforcement Learning	                      National Research University Higher School of Economics	                      4.1	                      279	                      Advanced Level	                      Approx. 38 hours to complete	                      English	                      	                      23,056	
318	                      Reproducible Research	                      Johns Hopkins University	                      4.5	                      3,451	                      Mixed	                      Approx. 11 hours to complete	                      English	                      Knitr,R Programming,Data Analysis,Markup Language	                      53,092	
323	                      Машинное обучение в финансах	                      Sberbank Corporate University	                      4.5	                      32	                      Intermediate Level	                      Approx. 17 hours to complete	                      Russian	                      Banking,Машинное обучение,Finance,Machine Learning,Python Programming	                      2,416	
325	                      Прикладные задачи анализа данных	                      Moscow Institute of Physics and Technology,Yandex	                      4.4	                      614	                      Intermediate Level	                      Approx. 26 hours to complete	                      Russian	                      Recommender Systems,Sentiment Analysis,Data Science,Time Series	                      11,617	
326	                      Data Visualization with Tableau Project	                      University of California, Davis	                      4.6	                      185	                      Intermediate Level	                      Approx. 11 hours to complete	                      English	                      Data Visualization (DataViz),Data Analysis,Tableau Software,Interactive Visualization	                      6,063	
328	                      Reinforcement Learning in Finance	                      New York University Tandon School of Engineering	                      3.4	                      69	                      Advanced Level	                      Approx. 21 hours to complete	                      English	                      Portfolio Optimization,simple model for market dynamics,option pricing and risk management,Q-learning using financial problems,optimal trading	                      9,865	
329	                      Practical SAS Programming and Certification Review	                      SAS	                      4.8	                      93	                      Intermediate Level	                      Approx. 27 hours to complete	                      English	                      	                      2,181	
330	                      Поиск структуры в данных	                      Moscow Institute of Physics and Technology,Yandex	                      4.7	                      1,230	                      Intermediate Level	                      Approx. 25 hours to complete	                      Russian	                      Machine Learning,Topic Model,Data Clustering Algorithms,Data Visualization (DataViz)	                      14,579	
332	                      Recommendation Systems with TensorFlow on GCP	                      Google Cloud	                      4.5	                      216	                      Advanced Level	                      Approx. 11 hours to complete	                      English	                      	                      3,206	
333	                      Big Data Analysis: Hive, Spark SQL, DataFrames and GraphFrames	                      Yandex	                      4.1	                      139	                      Advanced Level	                      Approx. 72 hours to complete	                      English	                      Graphs,Apache Hive,Apache Spark,Hive	                      13,465	
334	                      Cluster Analysis in Data Mining	                      University of Illinois at Urbana-Champaign	                      4.4	                      245	                      Mixed	                      Approx. 13 hours to complete	                      English	                      K-Means Clustering,Cluster Analysis,Data Clustering Algorithms,Hierarchical Clustering	                      23,028	
341	                      Знакомство с R и базовая статистика	                      Saint Petersburg State University	                      4.9	                      26	                      Beginner Level	                      Approx. 35 hours to complete	                      Russian	                      Basic Descriptive Statistics,Statistical Analysis,Data Visualization (DataViz),R Programming,Inference	                      2,314	
342	                      Interprofessional Healthcare Informatics	                      University of Minnesota	                      4.4	                      212	                      Mixed	                      Approx. 10 hours to complete	                      English	                      Data Visualization (DataViz),Information Theory,Graph Theory,Data Virtualization,Health Informatics	                      25,148	
343	                      Introduction to Formal Concept Analysis	                      National Research University Higher School of Economics	                      4.8	                      29	                      Intermediate Level	                      Approx. 37 hours to complete	                      English	                      	                      5,107	
344	                      Google Cloud Platform Big Data and Machine Learning Fundamentals en Español	                      Google Cloud	                      4.7	                      199	                      Intermediate Level	                      Approx. 16 hours to complete	                      Spanish	                      Machine Learning,Bigquery,Big Data,Google Cloud Platform	                      7,364	
347	                      Data Management and Visualization	                      Wesleyan University	                      4.4	                      708	                      Mixed	                      Approx. 17 hours to complete	                      English	                      Python Programming,Data Management,Data Analysis,SAS Language	                      48,816	
348	                      Algorithms for DNA Sequencing	                      Johns Hopkins University	                      4.8	                      449	                      Mixed	                      Approx. 22 hours to complete	                      English	                      Algorithms,Algorithms On Strings,Python Programming,Bioinformatics Algorithms	                      17,430	
350	                      Framework for Data Collection and Analysis	                      University of Maryland, College Park	                      4.1	                      341	                      Intermediate Level	                      Approx. 8 hours to complete	                      English	                      Data Generating Process,Data Quality,Data Collection,Data Analysis	                      13,003	
351	                      Graph Analytics for Big Data	                      University of California San Diego	                      4.2	                      851	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Graph Database,Neo4j,Graph Theory,Analytics	                      24,485	
352	                      Business Intelligence Concepts, Tools, and Applications	                      University of Colorado System	                      4.4	                      474	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Microstrategy,Data Visualization (DataViz),Business Intelligence,Data Analysis	                      25,970	
354	                      Big Data: adquisición y almacenamiento de datos	                      Universitat Autònoma de Barcelona	                      4.5	                      61	                      Intermediate Level	                      Approx. 18 hours to complete	                      Spanish	                      	                      1,546	
356	                      Communicating Business Analytics Results	                      University of Colorado Boulder	                      4.4	                      141	                      Mixed	                      Approx. 9 hours to complete	                      English	                      	                      5,252	
361	                      Nearest Neighbor Collaborative Filtering	                      University of Minnesota	                      4.3	                      219	                      Mixed	                      Approx. 12 hours to complete	                      English	                      	                      8,535	
365	                      Relational Database Support for Data Warehouses	                      University of Colorado System	                      4.6	                      525	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Materialized View,SQL,Data Warehouse,Data Warehousing	                      17,249	
367	                      機器學習基石下 (Machine Learning Foundations)---Algorithmic Foundations	                      National Taiwan University	                      4.9	                      245	                      Intermediate Level	                      Approx. 13 hours to complete	                      Chinese (Traditional)	                      	                      7,130	
370	                      Введение в данные	                      Novosibirsk State University 	                      4.7	                      108	                      Intermediate Level	                      Approx. 9 hours to complete	                      Russian	                      	                      4,621	
372	                      Google Cloud Platform Big Data and Machine Learning Fundamentals 日本語版	                      Google Cloud	                      4.5	                      69	                      Intermediate Level	                      Approx. 16 hours to complete	                      Japanese	                      	                      1,624	
374	                      Principles of fMRI 2	                      Johns Hopkins University,University of Colorado Boulder	                      4.7	                      122	                      Mixed	                      Approx. 13 hours to complete	                      English	                      	                      8,153	
375	                      Business Analytics and Digital Media	                      Indian School of Business	                      4.2	                      211	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      Business Analytics,Digital Media,Data Analysis,Analytics	                      6,788	
379	                      Recommender Systems: Evaluation and Metrics	                      University of Minnesota	                      4.3	                      162	                      Mixed	                      Approx. 9 hours to complete	                      English	                      	                      7,269	
380	                      Introduction to Neurohacking In R	                      Johns Hopkins University	                      4.6	                      175	                      Intermediate Level	                      Approx. 12 hours to complete	                      English	                      Image Processing,R Programming,Brain,Neurology	                      13,327	
382	                      Business Analytics Capstone	                      University of Pennsylvania	                      4.5	                      440	                      Intermediate Level	                      Approx. 13 hours to complete	                      English	                      Strategic Management,Business Analytics,Data Analysis,Customer Analytics	                      4,330	
384	                      Matrix Factorization and Advanced Techniques	                      University of Minnesota	                      4.3	                      138	                      Mixed	                      Approx. 8 hours to complete	                      English	                      	                      9,211	
385	                      Data Analysis Tools	                      Wesleyan University	                      4.5	                      351	                      Mixed	                      Approx. 13 hours to complete	                      English	                      Analysis Of Variance (ANOVA),Statistical Hypothesis Testing,Chi-Squared (Chi-2) Distribution,Data Analysis	                      33,181	
386	                      Relational database systems	                      Universidad Nacional Autónoma de México	                      4.2	                      26	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      	                      2,493	
387	                      Geospatial Analysis Project	                      University of California, Davis	                      4.8	                      146	                      Mixed	                      Approx. 13 hours to complete	                      English	                      Map Analysis,Data Analysis,Project,Project Management,Geographic Information System (GIS)	                      3,076	
388	                      How Google does Machine Learning 日本語版	                      Google Cloud	                      4.5	                      110	                      Intermediate Level	                      Approx. 13 hours to complete	                      Japanese	                      	                      1,528	
394	                      Regression Modeling in Practice	                      Wesleyan University	                      4.4	                      242	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Logistic Regression,Regression Analysis,Data Analysis,Python Programming	                      27,238	
396	                      Business Statistics and Analysis Capstone	                      Rice University	                      4.7	                      155	                      Mixed	                      Approx. 13 hours to complete	                      English	                      Microsoft Excel,Predictive Analytics,Data Analysis,Regression Analysis	                      3,187	
397	                      Increasing Real Estate Management Profits: Harnessing Data Analytics	                      Duke University	                      4.7	                      162	                      Mixed	                      Approx. 27 hours to complete	                      English	                      MySQL,SQL,Data Analysis,Tableau Software	                      1,806	
403	                      Dealing With Missing Data	                      University of Maryland, College Park	                      3.8	                      88	                      Mixed	                      Approx. 9 hours to complete	                      English	                      	                      7,478	
404	                      Business intelligence and data warehousing	                      Universidad Nacional Autónoma de México	                      4.4	                      14	                      Intermediate Level	                      Approx. 15 hours to complete	                      English	                      Expected Return,Sap Hana,Business Intelligence,Data Warehousing	                      1,766	
410	                      Combining and Analyzing Complex Data	                      University of Maryland, College Park	                      4.2	                      38	                      Mixed	                      Approx. 7 hours to complete	                      English	                      	                      4,747	
433	                      Big Data Applications: Machine Learning at Scale	                      Yandex	                      3.8	                      71	                      Advanced Level	                      Approx. 76 hours to complete	                      English	                      	                      7,175	
435	                      Structural Equation Model and its Applications | 结构方程模型及其应用 (普通话)	                      The Chinese University of Hong Kong	                      4.8	                      58	                      Mixed	                      Approx. 24 hours to complete	                      Chinese (Simplified)	                      	                      4,847	
436	                      Статистические методы в гуманитарных исследованиях	                      National Research Tomsk State University	                      4.9	                      34	                      Intermediate Level	                      Approx. 18 hours to complete	                      Russian	                      	                      2,400	
445	                      Design and Build a Data Warehouse for Business Intelligence Implementation	                      University of Colorado System	                      4.6	                      226	                      Mixed	                      Approx. 8 hours to complete	                      English	                      Microstrategy,SQL,Data Warehouse,Data Warehousing	                      1,569	
456	                      Understanding China, 1700-2000: A Data Analytic Approach, Part 2	                      The Hong Kong University of Science and Technology	                      4.4	                      27	                      Mixed	                      Approx. 5 hours to complete	                      English	                      	                      2,001	
480	                      Managing Data Analysis	                      Johns Hopkins University	                      4.5	                      2,233	                      Mixed	                      Approx. 7 hours to complete	                      English	                      Exploratory Data Analysis,Interpretation,Communication,Data Analysis	                      38,982	
484	                      Systems Science and Obesity	                      Johns Hopkins University	                      4.7	                      135	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      	                      11,009	
485	                      Measuring Causal Effects in the Social Sciences	                      University of Copenhagen	                      4.2	                      133	                      Mixed	                      Approx. 7 hours to complete	                      English	                      Difference In Differences,Causal Inference,Instrumental Variable,Causality	                      10,459	
489	                      Understanding Obesity	                      The University of Edinburgh	                      4.6	                      212	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      	                      21,837	
492	                      Qualitative Research Methods	                      University of Amsterdam	                      4.5	                      630	                      Intermediate Level	                      Approx. 29 hours to complete	                      English	                      	                      48,352	
493	                      Crowdfunding	                      University of Pennsylvania	                      4.6	                      123	                      Mixed	                      Approx. 6 hours to complete	                      English	                      Planning,Crowdfunding,Advertising Campaign,Cost–Benefit Analysis	                      3,303	
500	                      Using Python to Access Web Data	                      University of Michigan	                      4.8	                      22,600	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Web Scraping,Json,Xml,Python Programming	                      243,950	
501	                      Object-Oriented Data Structures in C++	                      University of Illinois at Urbana-Champaign	                      4.8	                      267	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      	                      7,504	
502	                      Positive Psychology: Martin E. P. Seligman’s Visionary Science	                      University of Pennsylvania	                      4.8	                      2,513	                      Beginner Level	                      Approx. 19 hours to complete	                      English	                      Positive Psychology,Character Strengths And Virtues,Positive Education,Gratitude	                      38,679	
503	                      Using Databases with Python	                      University of Michigan	                      4.8	                      13,831	                      Mixed	                      Approx. 12 hours to complete	                      English	                      SQL,Database (DBMS),Sqlite,Python Programming	                      181,558	
505	                      Data Management for Clinical Research	                      Vanderbilt University	                      4.7	                      613	                      Beginner Level	                      Approx. 25 hours to complete	                      English	                      Survey Design,Data Management,Data Collection,Clinical Data Management	                      33,911	
506	                      Ordered Data Structures	                      University of Illinois at Urbana-Champaign	                      4.8	                      124	                      Mixed	                      Approx. 19 hours to complete	                      English	                      	                      1,853	
507	                      Serverless Data Analysis with Google BigQuery and Cloud Dataflow	                      Google Cloud	                      4.5	                      3,058	                      Intermediate Level	                      Approx. 9 hours to complete	                      English	                      Publish–Subscribe Pattern,Dataflow,Bigquery,Apache Beam	                      23,701	
508	                      Epidemiology: The Basic Science of Public Health	                      The University of North Carolina at Chapel Hill	                      4.6	                      1,615	                      Mixed	                      Approx. 13 hours to complete	                      English	                      	                      107,051	
510	                      Graph Search, Shortest Paths, and Data Structures	                      Stanford University	                      4.8	                      1,381	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      Algorithms,Graphs,Data Structure,Hash Table	                      39,952	
512	                      Big Data Analysis with Scala and Spark	                      École Polytechnique Fédérale de Lausanne	                      4.7	                      2,086	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Scala Programming,Big Data,Apache Spark,SQL	                      67,614	
513	                      Data Collection and Processing with Python	                      University of Michigan	                      4.7	                      749	                      Intermediate Level	                      Approx. 15 hours to complete	                      English	                      	                      9,513	
515	                      Data Structures	                      University of California San Diego,National Research University Higher School of Economics	                      4.7	                      2,345	                      Intermediate Level	                      Approx. 27 hours to complete	                      English	                      Binary Search Tree,Stack (Abstract Data Type),Priority Queue,List,Hash Table	                      99,036	
517	                      Big Data Essentials: HDFS, MapReduce and Spark RDD	                      Yandex	                      4.0	                      396	                      Intermediate Level	                      Approx. 45 hours to complete	                      English	                      Mapreduce,Apache Hadoop,Apache Spark,Python Programming	                      31,216	
518	                      Java Programming: Arrays, Lists, and Structured Data	                      Duke University	                      4.7	                      1,519	                      Beginner Level	                      Approx. 24 hours to complete	                      English	                      Data Structure,Cryptography,Hash Table,Java Programming	                      62,373	
520	                      Mathematics for Computer Science	                      University of London,Goldsmiths, University of London	                      4.3	                      47	                      Beginner Level	                      Approx. 38 hours to complete	                      English	                      	                      5,601	
522	                      Healthcare Data Literacy	                      University of California, Davis	                      4.6	                      16	                      Intermediate Level	                      Approx. 15 hours to complete	                      English	                      	                      1,843	
523	                      Data Structures and Performance	                      University of California San Diego	                      4.8	                      1,657	                      Intermediate Level	                      Approx. 28 hours to complete	                      English	                      Linked List,Binary Tree,Data Structure,Trees (Data Structures)	                      53,856	
524	                      Data Warehouse Concepts, Design, and Data Integration	                      University of Colorado System	                      4.4	                      786	                      Mixed	                      Approx. 18 hours to complete	                      English	                      Data Integration,Extraction, Transformation And Loading (ETL),Data Warehouse,Pentaho	                      33,072	
525	                      GIS Data Formats, Design and Quality	                      University of California, Davis	                      4.9	                      1,245	                      Intermediate Level	                      Approx. 19 hours to complete	                      English	                      Data Management,Workflow,Spatial Analysis,Analytics	                      20,354	
527	                      Building Database Applications in PHP	                      University of Michigan	                      4.9	                      357	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      MySQL,Hypertext Preprocessor (PHP),Create, Read, Update And Delete	                      11,830	
528	                      Philosophy and the Sciences: Introduction to the Philosophy of Physical Sciences	                      The University of Edinburgh	                      4.6	                      466	                      Mixed	                      Approx. 7 hours to complete	                      English	                      	                      19,176	
529	                      Biological Diversity (Theories, Measures and Data sampling techniques)	                      National Research Tomsk State University	                      4.3	                      84	                      Intermediate Level	                      Approx. 10 hours to complete	                      English	                      	                      6,891	
531	                      Data Communications and Network Services	                      Cisco	                      4.8	                      690	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      Network Protocols,Telnet,Network Management,Communications Protocol	                      9,410	
532	                      Python Data Analysis	                      Rice University	                      4.7	                      345	                      Beginner Level	                      Approx. 12 hours to complete	                      English	                      	                      11,807	
535	                      Advanced Data Structures in Java	                      University of California San Diego	                      4.8	                      1,033	                      Intermediate Level	                      Approx. 20 hours to complete	                      English	                      Search Algorithm,Graphs,Graph Data Structures,Graph Algorithms	                      58,956	
537	                      Predictive Analytics and Data Mining	                      University of Illinois at Urbana-Champaign	                      4.2	                      39	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      	                      2,156	
540	                      Big Data Applications: Real-Time Streaming	                      Yandex	                      0	                      0	                      Advanced Level	                      Approx. 23 hours to complete	                      English	                      Spark Streaming,Spark,NoSQL,Kafka	                      4,313	
541	                      Python Data Visualization	                      Rice University	                      4.8	                      198	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      	                      7,042	
543	                      Cloud Computing Applications, Part 2: Big Data and Applications in the Cloud	                      University of Illinois at Urbana-Champaign	                      4.2	                      229	                      Mixed	                      Approx. 15 hours to complete	                      English	                      Machine Learning,Graphs,Big Data,Distributed Computing	                      16,549	
544	                      Philosophy, Science and Religion: Philosophy and Religion	                      The University of Edinburgh	                      4.6	                      189	                      Beginner Level	                      Approx. 13 hours to complete	                      English	                      	                      11,915	
546	                      Exploring and Producing Data for Business Decision Making	                      University of Illinois at Urbana-Champaign	                      4.8	                      462	                      Beginner Level	                      Approx. 23 hours to complete	                      English	                      Microsoft Excel,Statistical Analysis,Data Analysis,Normal Distribution	                      13,448	
548	                      AstroTech: The Science and Technology behind Astronomical Discovery	                      The University of Edinburgh	                      4.7	                      336	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      	                      6,055	
553	                      Data Structures and Design Patterns for Game Developers	                      University of Colorado System	                      4.7	                      38	                      Intermediate Level	                      Approx. 15 hours to complete	                      English	                      	                      3,292	
554	                      Introduction to Translational Science	                      University of Rochester	                      4.3	                      29	                      Beginner Level	                      Approx. 8 hours to complete	                      English	                      	                      2,762	
569	                      Learning How to Learn: Powerful mental tools to help you master tough subjects	                      McMaster University,University of California San Diego	                      4.8	                      48,303	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Meta Learning,Learning To Learn,Test Preparation,Pomodoro Technique	                      1,852,770	
573	                      Customer Analytics	                      University of Pennsylvania	                      4.5	                      6,981	                      Mixed	                      Approx. 12 hours to complete	                      English	                      Marketing Performance Measurement And Management,Regression Analysis,Predictive Analytics,Customer Analytics	                      146,268	
575	                      Game Theory	                      Stanford University,The University of British Columbia	                      4.6	                      2,515	                      Beginner Level	                      Approx. 20 hours to complete	                      English	                      Backward Induction,Bayesian Game,Game Theory,Problem Solving	                      214,897	
576	                      Financial Engineering and Risk Management Part I	                      Columbia University	                      4.6	                      1,737	                      Mixed	                      Approx. 32 hours to complete	                      English	                      Financial Risk,Financial Engineering,Financial Modeling,Pricing	                      281,078	
578	                      Learn to Program: The Fundamentals	                      University of Toronto	                      4.8	                      3,072	                      Beginner Level	                      Approx. 29 hours to complete	                      English	                      Computer Programming,Python Syntax And Semantics,Python Programming,Idle (Python)	                      136,649	
579	                      Model Thinking	                      University of Michigan	                      4.8	                      1,434	                      Mixed	                      Approx. 33 hours to complete	                      English	                      Decision-Making,Strategic Thinking,Economics,Modeling	                      109,879	
580	                      Python Functions, Files, and Dictionaries	                      University of Michigan	                      4.8	                      1,005	                      Beginner Level	                      Approx. 23 hours to complete	                      English	                      	                      11,765	
582	                      International Cyber Conflicts	                      The State University of New York	                      4.4	                      656	                      Mixed	                      Approx. 9 hours to complete	                      English	                      Cybersecurity,Internet Protocol (IP) Suite,Cybercrime,Cyberwarfare	                      19,443	
584	                      Object Oriented Programming in Java	                      University of California San Diego	                      4.7	                      3,737	                      Intermediate Level	                      Approx. 23 hours to complete	                      English	                      Sorting Algorithm,Object-Oriented Programming (OOP),Logic Programming,Java Programming	                      168,576	
587	                      Entreprendre dans les Industries Culturelles à l'ère du numérique	                      Sciences Po	                      4.7	                      45	                      Beginner Level	                      Approx. 18 hours to complete	                      French	                      	                      2,970	
588	                      Discrete Mathematics	                      Shanghai Jiao Tong University	                      3.6	                      101	                      Intermediate Level	                      Approx. 38 hours to complete	                      English	                      	                      25,526	
590	                      Competitive Programmer's Core Skills	                      Saint Petersburg State University	                      4.5	                      90	                      Intermediate Level	                      Approx. 13 hours to complete	                      English	                      	                      10,124	
592	                      Parallel programming	                      École Polytechnique Fédérale de Lausanne	                      4.5	                      1,626	                      Intermediate Level	                      Approx. 16 hours to complete	                      English	                      Parallel Computing,Data Parallelism,Data Structure,Parallel Algorithm	                      46,287	
593	                      JavaScript, jQuery, and JSON	                      University of Michigan	                      4.7	                      268	                      Intermediate Level	                      Approx. 17 hours to complete	                      English	                      Hypertext Preprocessor (PHP),JavaScript,Jquery	                      17,968	
595	                      Advanced Algorithms and Complexity	                      University of California San Diego,National Research University Higher School of Economics	                      4.6	                      357	                      Advanced Level	                      Approx. 23 hours to complete	                      English	                      Np-Completeness,Linear Programming (LP),Python Programming,Dynamic Programming	                      33,757	
596	                      Political Economy of Institutions and Development	                      Universiteit Leiden	                      4.7	                      170	                      Beginner Level	                      Approx. 17 hours to complete	                      English	                      	                      13,982	
597	                      Geospatial and Environmental Analysis	                      University of California, Davis	                      4.8	                      744	                      Intermediate Level	                      Approx. 18 hours to complete	                      English	                      	                      17,437	
598	                      Pointers, Arrays, and Recursion	                      Duke University	                      4.5	                      130	                      Beginner Level	                      Approx. 29 hours to complete	                      English	                      	                      8,414	
599	                      Cultural and creative industries	                      National Research University Higher School of Economics	                      4.3	                      8	                      Mixed	                      Approx. 26 hours to complete	                      English	                      	                      2,715	
600	                      Software Design as an Abstraction	                      University of Colorado System	                      4.8	                      47	                      Intermediate Level	                      Approx. 5 hours to complete	                      English	                      	                      1,732	
601	                      数据结构基础	                      Peking University	                      4.3	                      238	                      Mixed	                      Approx. 31 hours to complete	                      Chinese (Simplified)	                      	                      20,430	
602	                      Principles of Computing (Part 2)	                      Rice University	                      4.8	                      283	                      Mixed	                      Approx. 19 hours to complete	                      English	                      Recursion,Algorithms,Python Programming,Tree (Data Structure)	                      10,817	
605	                      AWS Fundamentals: Building Serverless Applications	                      Amazon Web Services	                      4.7	                      267	                      Beginner Level	                      Approx. 9 hours to complete	                      English	                      AWS Lambda,serverless architecture,Amazon Dynamodb,Amazon Lex,Amazon API Gateway	                      13,351	
608	                      Technical Support Fundamentals	                      Google	                      4.8	                      18,258	                      Beginner Level	                      Approx. 20 hours to complete	                      English	                      Binary Code,Customer Support,Linux,Troubleshooting	                      165,038	
610	                      Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning	                      deeplearning.ai	                      4.7	                      4,487	                      Intermediate Level	                      Approx. 9 hours to complete	                      English	                      Machine Learning,Tensorflow,Computer Vision	                      100,037	
621	                      Social Norms, Social Change I	                      University of Pennsylvania,Unicef	                      4.6	                      1,074	                      Beginner Level	                      Approx. 14 hours to complete	                      English	                      Research Methods,Education,Qualitative Research,Social Psychology	                      60,497	
633	                      Social and Economic Networks: Models and Analysis	                      Stanford University	                      4.8	                      467	                      Advanced Level	                      Approx. 25 hours to complete	                      English	                      Game Theory,Social Network,Network Theory,Network Analysis	                      34,652	
634	                      Cloud Computing Concepts, Part 1	                      University of Illinois at Urbana-Champaign	                      4.5	                      768	                      Beginner Level	                      Approx. 39 hours to complete	                      English	                      Distributed Algorithm,C++,Distributed Computing,Cloud Computing	                      67,975	
636	                      Design and Make Infographics (Project-Centered Course)	                      Michigan State University	                      4.7	                      570	                      Mixed	                      Approx. 16 hours to complete	                      English	                      Communication Design,Graphic Design,Infographics,Illustration	                      81,306	
638	                      Introduction to GIS Mapping	                      University of Toronto	                      4.9	                      110	                      Beginner Level	                      Approx. 18 hours to complete	                      English	                      Spatial Analysis,Esri,Cartography,Mapping,Geographic Information System (GIS)	                      4,007	
639	                      Introduction to the Internet of Things and Embedded Systems	                      University of California, Irvine	                      4.6	                      4,762	                      Mixed	                      Approx. 14 hours to complete	                      English	                      Internet Of Things (IOT),Embedded System Design,Microcontroller,Wireshark	                      108,685	
647	                      Understanding Terrorism and the Terrorist Threat	                      University of Maryland, College Park	                      4.7	                      225	                      Beginner Level	                      Approx. 22 hours to complete	                      English	                      	                      10,170	
648	                      Software Defined Networking	                      The University of Chicago	                      4.8	                      6	                      Mixed	                      Approx. 25 hours to complete	                      English	                      	                      36,328	
649	                      Single Variable Calculus	                      University of Pennsylvania	                      4.8	                      142	                      Mixed	                      Approx. 19 hours to complete	                      English	                      	                      19,526	
650	                      Excel/VBA for Creative Problem Solving, Part 2	                      University of Colorado Boulder	                      4.9	                      429	                      Intermediate Level	                      Approx. 25 hours to complete	                      English	                      	                      8,496	
652	                      Introduction to battery-management systems	                      University of Colorado System	                      4.8	                      267	                      Intermediate Level	                      Approx. 24 hours to complete	                      English	                      	                      5,984	
653	                      Combinatorics and Probability	                      University of California San Diego,National Research University Higher School of Economics	                      4.6	                      316	                      Beginner Level	                      Approx. 21 hours to complete	                      English	                      Probability Interpretations,Probability,Combinatorics,Random Variable	                      14,588	
654	                      eHealth: More than just an electronic record	                      The University of Sydney	                      4.5	                      110	                      Mixed	                      Approx. 13 hours to complete	                      English	                      	                      9,282	
